Antarctic Minke Whale,Balaenoptera Bonaernsis,Balaenopteridae (Rorquals),8.5 - 9.0 meters,14 tons,Near Threatened
Blue Whale,Balaenoptera Musculus,Balaenopteridae (Rorquals),21 - 26 meters,180 tons,Endangered
Bowhead Whale,Balaena Mysticetus,Balaenidae (Right Whales),14 - 18 meters,75 - 100 tons,Least Concern
Bryde's Whale,Balaenoptera Brydei,Balaenopteridae (Rorquals),12 - 16.5 meters,12 - 25 tons,Least Concern
Common Minke Whale,Balaenoptera Acutostrata,Balaenopteridae (Rorquals),6 - 7 meters,2.5 - 4 tons,Least Concern
Eden's Whale,Balaenoptera Edeni,Balaenopteridae (Rorquals),10 - 12 meters,10 - 15 tons,Least Concern
Fin Whale,Balaenoptera Physalus,Balaenopteridae (Rorquals),21 - 22 meters,40 - 50 tons,Vulnerable
Gray Whale,Eschrichtius Robustus,Balaenopteridae (Rorquals),12 - 15 meters,30 - 40 tons,Least Concern
Humpback Whale,Megaptera Novaeangliae,Balaenopteridae (Rorquals),12 - 16 meters,25 - 30 tons,Least Concern
North Atlantic Right Whale,Eubalaena Glacialis,Balaenidae (Right Whales),13 - 16 meters,40 - 70 tons,Critically Endangered
North Pacific Right Whale,Eubalaena Japonica,Balaenidae (Right Whales),14 - 16 meters,40 - 70 tons,Critically Endangered
Omura's Whale,Balaenoptera Omurai,Balaenopteridae (Rorquals),11 - 12 meters,20 - 25 tons,Data Deficient
Pygmy Right Whale,Caperea Marginata,Cetotheriidae (Pygmy Right Whale),6 - 6.5 meters,3 - 4 tons,Least Concern
Rice's Whale,Balaenoptera Ricei,Balaenopteridae (Rorquals),12 - 14 meters,30 tons,Critically Endangered
Sei Whale,Balaenoptera Borealis,Balaenopteridae (Rorquals),14 - 20 meters,20 - 30 tons,Endangered
Southern Right Whale,Eubalaena Australis,Balaenidae (Right Whales),14 - 18 meters,40 - 80 tons,Least Concern
